person_id,first_name,last_name,father_name,gender,fin_code,id_card_number,military_ticket_number,has_driving_license,driving_license_number,birth_date,age,home_region,education_level,university_admission_year,university_graduation_year,rank_group,rank,specialization,is_leadership,officer_commissioning_source,military_academy_type,years_as_enlisted_before_commission,prior_enlisted_specialization,department,total_military_service_years,uav_service_years,current_department_years,rotation_count,last_rotation_date,contract_start_date,contract_end_date,contract_length_years,pua_course_cohort
AO21458,Elvin,Nəsirov,Murad oğlu,M,5297Z46,UF8212776,HB215876,True,SV0607031,1997-04-16,29,Şamaxı,Higher Military Education,2017,2021,Officer,Senior Lieutenant,Operations Officer,False,Military Academy,General Military Academy,,,Alpha,5.22,2.48,2.48,0,,2019-12-01,2029-12-01,10,3
AO18524,Zaur,Nəsirov,Kamran oğlu,M,J4R3ZLD,ZD9879983,HB180657,False,,1996-07-31,29,Bakı,Higher Military Education,2014,2018,Officer,Captain,Flight Control Officer,False,Military Academy,Military Aviation School,,,Alpha,7.65,3.7,0.7,1,2025-10-18,2021-03-09,2031-03-09,10,3
AO12328,Rəşad,Abbasov,Sənan oğlu,M,HA6T7HC,VX3419340,HB122506,False,,1989-03-25,37,Mingəçevir,Higher Military Education,2008,2012,Officer,Major,Flight Control Officer,False,Military Academy,General Military Academy,,,Alpha,13.92,4.36,1.36,1,2025-02-19,2020-09-26,2027-09-26,7,4
AO16636,Fuad,Qaraov,Elnur oğlu,M,6W4V8JY,FL2393960,HB161664,True,SV9980269,1992-10-14,33,Gəncə,Higher Civilian Education,2012,2016,Officer,Captain,Flight Control Officer,False,Civilian Direct Commission,,,,Alpha,10.37,4.72,1.72,1,2024-10-10,2022-04-22,2032-04-22,10,3
AO25389,Murad,İbrahimov,Vüsal oğlu,M,4H23VJ9,ZN7181375,HB253566,True,SV2141043,2003-03-09,23,Bərdə,Higher Civilian Education,2021,2025,Officer,Lieutenant,Training & Standardization Officer,False,Civilian Direct Commission,,,,Alpha,1.06,1.06,1.06,0,,2024-03-12,2027-03-12,3,1
AO25228,Turanə,Musaova,Namiq qızı,F,Q8BRNXR,XB0602653,HB254852,False,,2002-08-20,23,Salyan,Higher Civilian Education,2021,2025,Officer,Lieutenant,Training & Standardization Officer,False,Civilian Direct Commission,,,,Alpha,1.42,1.42,1.42,0,,2017-05-28,2027-05-28,10,3
AO18688,Vaqif,Xəlilov,Kənan oğlu,M,T5P6P4N,TH3296400,HB189583,True,SV7310956,1995-01-10,31,Ağdam,Higher Civilian Education,2014,2018,Officer,Captain,Training & Standardization Officer,False,Civilian Direct Commission,,,,Alpha,8.26,1.5,1.5,0,,2017-12-19,2027-12-19,10,3
AO20164,Elşən,Kərimov,Rəşad oğlu,M,UGXHD5M,UP8898660,HB207077,False,,1997-10-27,28,Quba,Higher Military Education,2016,2020,Officer,Senior Lieutenant,Pilot-Operator,False,Military Academy,General Military Academy,,,Alpha,5.83,5.58,2.58,1,2023-12-01,2025-08-20,2028-08-20,3,1
AO25328,Orxan,Rüstəmov,Elnur oğlu,M,Z9CSNQF,HH9581700,HB252953,True,SV4642531,2004-05-22,22,Bərdə,In-Service Officer Commissioning Program,2023,2025,Officer,Lieutenant,Pilot-Operator,False,Prior Enlisted (Gizir) Commission,,1.0,UAV Operator,Alpha,1.49,1.49,1.49,0,,2020-11-01,2030-11-01,10,4
AO24416,Kənan,İbrahimov,Elnur oğlu,M,2KDRPET,FP6337440,HB249031,True,SV4462491,2001-11-19,24,Yevlax,Higher Military Education,2020,2024,Officer,Lieutenant,Pilot-Operator,False,Military Academy,Military Aviation School,,,Alpha,2.17,2.17,2.17,0,,2025-11-20,2028-11-20,3,4
AO22646,Nərgiz,Yusifova,Rövşən qızı,F,5ZH2CWS,EU3961121,HB229398,True,SV7096455,1999-11-18,26,Bərdə,Higher Military Education,2018,2022,Officer,Senior Lieutenant,Pilot-Operator,False,Military Academy,General Military Academy,,,Alpha,4.44,4.44,1.44,1,2025-01-21,2023-07-23,2028-07-23,5,5
AO22701,Namiq,Xəlilov,İlkin oğlu,M,JBSKQB4,BW8654578,HB221766,True,SV8634101,1998-05-17,28,Qazax,Higher Civilian Education,2018,2022,Officer,Senior Lieutenant,Pilot-Operator,False,Civilian Direct Commission,,,,Alpha,4.18,2.58,2.58,0,,2024-02-27,2029-02-27,5,1
AO24250,Elşən,Rəhimov,Elşən oğlu,M,7N2XBWL,HP3289610,HB245564,True,SV9366170,2001-10-01,24,İmişli,Higher Military Education,2020,2024,Officer,Lieutenant,Pilot-Operator,False,Military Academy,Military Aviation School,,,Alpha,2.25,2.25,2.25,0,,2023-11-20,2028-11-20,5,4
AO22585,Orxan,Yusifov,Tofiq oğlu,M,XSAK8L2,EZ1275575,HB223531,True,SV8651166,2000-02-10,26,Naxçıvan,Higher Military Education,2018,2022,Officer,Senior Lieutenant,Pilot-Operator,False,Military Academy,Military Aviation School,,,Alpha,4.13,4.13,1.13,1,2025-05-14,2016-07-11,2026-07-11,10,4
AO12461,Turanə,Vəliova,Anar qızı,F,K3R4M89,MG3598812,HB121469,True,SV8518827,1991-06-20,35,Quba,In-Service Officer Commissioning Program,2010,2012,Officer,Major,Pilot-Operator,False,Prior Enlisted (Gizir) Commission,,2.09,UAV Operator,Alpha,13.59,5.85,2.85,1,2023-08-25,2018-08-28,2028-08-28,10,4
AO19336,Ceyhun,Abbasov,Elvin oğlu,M,PNMNCHL,CT3109487,HB192524,True,SV6902196,1996-07-27,29,Ağdam,Higher Military Education,2015,2019,Officer,Captain,Pilot-Operator,False,Military Academy,Military Aviation School,,,Alpha,7.05,5.73,2.73,1,2023-10-07,2024-03-27,2029-03-27,5,1
AO17172,Rəşad,Həsənov,Zaur oğlu,M,6VASHEP,QF4609055,HB172676,False,,1995-02-07,31,İmişli,Higher Military Education,2013,2017,Officer,Captain,Pilot-Operator,False,Military Academy,Military Aviation School,,,Alpha,9.15,2.19,2.19,0,,2022-02-19,2029-02-19,7,1
AO22921,Elşən,Məmmədov,İlkin oğlu,M,CHXDU2E,JJ6869411,HB223349,True,SV9027833,1999-05-03,27,Goranboy,Higher Civilian Education,2018,2022,Officer,Senior Lieutenant,Pilot-Operator,False,Civilian Direct Commission,,,,Alpha,4.22,4.18,1.18,1,2025-04-26,2023-12-16,2033-12-16,10,5
AO20473,Aqşin,Əliov,Tofiq oğlu,M,LDM6Z6N,ZM4958706,HB206918,False,,1998-07-07,27,İmişli,Higher Civilian Education,2016,2020,Officer,Senior Lieutenant,Pilot-Operator,False,Civilian Direct Commission,,,,Alpha,5.91,4.23,1.23,1,2025-04-07,2022-03-09,2027-03-09,5,3
AO24361,Kamran,Tağıov,Elçin oğlu,M,QQZ7VPW,UB6457108,HB241590,True,SV4126390,2002-05-03,24,Mingəçevir,Higher Civilian Education,2020,2024,Officer,Lieutenant,Pilot-Operator,False,Civilian Direct Commission,,,,Alpha,2.0,2.0,2.0,0,,2023-06-27,2028-06-27,5,4
AO11628,Ramin,Xəlilov,Anar oğlu,M,8AFS7D2,SF6692101,HB116488,True,SV9899675,1988-05-11,38,Şamaxı,Higher Military Education,2007,2011,Officer,Major,Pilot-Operator,False,Military Academy,Military Aviation School,,,Alpha,14.61,3.87,0.87,1,2025-08-17,2023-09-15,2030-09-15,7,3
AO21607,Vüsal,Hüseynov,İlkin oğlu,M,E3ATM3T,QC3975780,HB219293,False,,1997-06-03,29,Sumqayıt,Higher Military Education,2017,2021,Officer,Senior Lieutenant,Pilot-Operator,False,Military Academy,General Military Academy,,,Alpha,5.22,4.19,1.19,1,2025-04-22,2021-05-28,2031-05-28,10,4
AO17445,Kamran,Fərəcov,Kənan oğlu,M,8P7BDEF,HT3988265,HB172653,True,SV3551916,1994-04-20,32,Yevlax,Higher Civilian Education,2013,2017,Officer,Captain,Pilot-Operator,False,Civilian Direct Commission,,,,Alpha,9.16,1.64,1.64,0,,2020-12-26,2030-12-26,10,3
AO22937,Ramin,Fərəcov,Tofiq oğlu,M,GUVA6TW,HF8446144,HB220163,True,SV1839337,1998-11-05,27,Salyan,Higher Military Education,2018,2022,Officer,Senior Lieutenant,Pilot-Operator,False,Military Academy,General Military Academy,,,Alpha,4.0,1.14,1.14,0,,2024-07-29,2027-07-29,3,5
AO23491,Cavid,Hacıov,Anar oğlu,M,8647ZGF,ZM8403425,HB232328,True,SV2586201,2003-05-23,23,Mingəçevir,In-Service Officer Commissioning Program,2021,2023,Officer,Lieutenant,Pilot-Operator,False,Prior Enlisted (Gizir) Commission,,1.73,UAV Operator,Alpha,2.86,2.86,2.86,0,,2023-08-28,2026-08-28,3,3
AO18742,Namiq,Nağıov,Orxan oğlu,M,NQT4VVE,CJ9531640,HB185623,True,SV7851819,1995-07-15,30,Qazax,Higher Military Education,2014,2018,Officer,Captain,Pilot-Operator,False,Military Academy,General Military Academy,,,Alpha,8.23,3.0,0.0,1,2026-06-30,2025-02-19,2032-02-19,7,2
AO15635,Emin,Yusifov,Şahin oğlu,M,YK4MX9U,VT6049775,HB152651,True,SV5166816,1992-06-22,34,Gəncə,Higher Civilian Education,2011,2015,Officer,Captain,Pilot-Operator,False,Civilian Direct Commission,,,,Alpha,10.79,5.21,2.21,1,2024-04-14,2022-12-12,2029-12-12,7,5
G23402,Cavid,Quliyov,Elçin oğlu,M,GSVR5ZY,NP9439455,HB238064,True,SV8682492,2001-06-17,25,Şamaxı,Vocational/Technical College,2021,2023,Warrant Officer,Warrant Officer,UAV Operator,False,,,,,Alpha,3.14,1.55,1.55,0,,2025-07-22,2028-07-22,3,2
G19017,Elçin,Sultanov,Şahin oğlu,M,LM73JDX,KZ8982273,HB197686,True,SV2425961,1997-09-07,28,Yevlax,Vocational/Technical College,2017,2019,Warrant Officer,Senior Warrant Officer,UAV Operator,False,,,,,Alpha,6.93,5.91,2.91,1,2023-08-03,2022-12-23,2027-12-23,5,5
G22746,Tural,Vəliov,Rəşad oğlu,M,PYD2AT7,KY8419369,HB223763,True,SV5579918,2002-06-27,24,Naxçıvan,Vocational/Technical College,2020,2022,Warrant Officer,Warrant Officer,UAV Operator,False,,,,,Alpha,3.53,1.25,1.25,0,,2024-11-30,2031-11-30,7,1
G23357,Vaqif,Kərimov,Tural oğlu,M,AUD9K9T,MY8411142,HB236353,True,SV7757188,2001-01-30,25,Ağdam,Vocational/Technical College,2021,2023,Warrant Officer,Warrant Officer,UAV Operator,False,,,,,Alpha,3.42,2.98,2.98,0,,2021-10-25,2026-10-25,5,5
G18673,Fərid,Səfərov,Ceyhun oğlu,M,HJH28KZ,AR6013458,HB186312,True,SV3192621,1997-10-27,28,Mingəçevir,Vocational/Technical College,2016,2018,Warrant Officer,Senior Warrant Officer,UAV Operator,False,,,,,Alpha,8.02,3.0,0.0,1,2026-06-30,2023-07-19,2026-07-19,3,4
G11740,Kənan,Səfərov,Emin oğlu,M,342XV3S,NJ9189251,HB113089,False,,1990-04-02,36,Zaqatala,Vocational/Technical College,2009,2011,Warrant Officer,Senior Warrant Officer,UAV Operator,False,,,,,Alpha,14.75,4.03,1.03,1,2025-06-19,2023-09-30,2028-09-30,5,1
G23944,İlkin,Cəfərov,Tural oğlu,M,QSQBQ3Z,KV7503099,HB234170,True,SV9047796,2001-11-23,24,Ağdam,Vocational/Technical College,2021,2023,Warrant Officer,Warrant Officer,UAV Operator,False,,,,,Alpha,3.24,3.24,0.24,1,2026-04-04,2022-01-03,2027-01-03,5,3
G22677,Orxan,Rüstəmov,Sənan oğlu,M,85E5D9N,DZ8794743,HB220359,True,SV4118706,2000-04-30,26,Yevlax,Vocational/Technical College,2020,2022,Warrant Officer,Warrant Officer,UAV Operator,False,,,,,Alpha,4.18,2.91,2.91,0,,2020-02-23,2027-02-23,7,1
G25596,Elçin,Musaov,Aqşin oğlu,M,BZNHG5B,NG8735633,HB251831,True,SV6230989,2004-11-15,21,Ağdam,Vocational/Technical College,2023,2025,Warrant Officer,Junior Warrant Officer,UAV Operator,False,,,,,Alpha,1.14,1.14,1.14,0,,2024-04-07,2029-04-07,5,5
G23288,Fərid,Yusifov,Elçin oğlu,M,PEN2R5K,SV9595122,HB234092,True,SV9807126,2002-09-11,23,Yevlax,Vocational/Technical College,2021,2023,Warrant Officer,Junior Warrant Officer,UAV Operator,False,,,,,Alpha,2.81,2.81,2.81,0,,2021-10-18,2028-10-18,7,1
G25878,Vüsal,Nağıov,Şahin oğlu,M,G7K7GGZ,TU9673232,HB252308,True,SV6338487,2003-04-09,23,Qazax,Vocational/Technical College,2023,2025,Warrant Officer,Junior Warrant Officer,UAV Operator,False,,,,,Alpha,1.48,1.48,1.48,0,,2022-11-16,2027-11-16,5,2
G25956,Aysel,Quliyova,Ramin qızı,F,TUZKGHU,FP9374774,HB257145,True,SV3151899,2004-06-29,22,Salyan,Vocational/Technical College,2023,2025,Warrant Officer,Junior Warrant Officer,UAV Operator,False,,,,,Alpha,1.26,1.26,1.26,0,,2025-05-21,2030-05-21,5,1
G22091,Cavid,Məmmədov,Elnur oğlu,M,4HYASMV,SQ4405052,HB223595,False,,2000-11-13,25,Bakı,Vocational/Technical College,2020,2022,Warrant Officer,Warrant Officer,UAV Operator,False,,,,,Alpha,3.95,1.37,1.37,0,,2026-02-26,2033-02-26,7,5
G18716,Ceyhun,Hüseynov,Rəşad oğlu,M,SHVJM3C,ZM2628096,HB186458,True,SV4346708,1997-01-04,29,Qazax,Vocational/Technical College,2016,2018,Warrant Officer,Senior Warrant Officer,UAV Operator,False,,,,,Alpha,7.86,4.37,1.37,1,2025-02-15,2020-02-16,2027-02-16,7,5
G22153,Vüsal,Vəliov,Vaqif oğlu,M,56RBC76,PA9395773,HB223232,True,SV1283837,2000-09-09,25,Mingəçevir,Vocational/Technical College,2020,2022,Warrant Officer,Warrant Officer,UAV Operator,False,,,,,Alpha,3.85,3.85,0.85,1,2025-08-24,2020-01-25,2027-01-25,7,1
G11488,Səbinə,Həsənova,Vüqar qızı,F,28N2AJ9,MJ9466067,HB111578,True,SV0176731,1990-05-24,36,Bakı,Vocational/Technical College,2009,2011,Warrant Officer,Senior Warrant Officer,UAV Operator,False,,,,,Alpha,15.1,5.87,2.87,1,2023-08-17,2025-03-09,2028-03-09,3,3
G24197,Nicat,Tağıov,Emin oğlu,M,TPAMCVL,KH3099951,HB243187,True,SV1340444,2003-10-19,22,Sumqayıt,Vocational/Technical College,2022,2024,Warrant Officer,Junior Warrant Officer,UAV Operator,False,,,,,Alpha,1.81,1.81,1.81,0,,2026-03-28,2029-03-28,3,3
G17139,Nicat,İbrahimov,Rəşad oğlu,M,EAN4N5Q,LV6536641,HB179160,True,SV3769732,1997-04-06,29,Goranboy,Vocational/Technical College,2015,2017,Warrant Officer,Senior Warrant Officer,UAV Operator,False,,,,,Alpha,8.73,2.23,2.23,0,,2023-07-12,2028-07-12,5,3
G22314,Kənan,Musaov,Emin oğlu,M,AZ8G34C,WV6132143,HB224155,True,SV5559840,2002-06-06,24,Tovuz,Vocational/Technical College,2020,2022,Warrant Officer,Warrant Officer,UAV Operator,False,,,,,Alpha,3.84,3.82,0.82,1,2025-09-04,2023-10-07,2028-10-07,5,5
G23423,Elşən,Musaov,Kamran oğlu,M,WB9XN28,LA2555543,HB233609,True,SV5530149,2002-06-17,24,Şirvan,Vocational/Technical College,2021,2023,Warrant Officer,Junior Warrant Officer,UAV Operator,False,,,,,Alpha,2.85,2.85,2.85,0,,2025-10-03,2028-10-03,3,2
G13885,Şahin,Abbasov,Rəşad oğlu,M,QYLK3D5,RS1921159,HB130810,True,SV4164061,1992-07-19,33,Bərdə,Vocational/Technical College,2011,2013,Warrant Officer,Senior Warrant Officer,Technical Staff,False,,,,,Alpha,13.25,2.72,2.72,0,,2023-11-20,2028-11-20,5,4
G08643,Xəyalə,Həsənova,Rəşad qızı,F,3TMGDXR,ZH3313416,HB083998,False,,1988-03-06,38,Yevlax,Vocational/Technical College,2006,2008,Warrant Officer,Senior Warrant Officer,Technical Staff,False,,,,,Alpha,17.54,4.52,1.52,1,2024-12-22,2024-03-27,2027-03-27,3,5
G08693,Elşən,Rəhimov,Elçin oğlu,M,ENVUPRT,YY1121868,HB083721,False,,1988-08-06,37,Xaçmaz,Vocational/Technical College,2006,2008,Warrant Officer,Senior Warrant Officer,Technical Staff,False,,,,,Alpha,17.73,1.67,1.67,0,,2025-07-29,2028-07-29,3,2
G23673,Sənan,Tağıov,Şahin oğlu,M,P4RCA2K,GN1477511,HB239135,True,SV8380759,2002-09-04,23,Şirvan,Vocational/Technical College,2021,2023,Warrant Officer,Warrant Officer,Technical Staff,False,,,,,Alpha,3.43,2.92,2.92,0,,2023-03-24,2028-03-24,5,2
G24293,Ülviyyə,Həsənova,Aqşin qızı,F,92H3UMY,RD1220325,HB243354,True,SV7228960,2004-02-21,22,Ağdam,Vocational/Technical College,2022,2024,Warrant Officer,Junior Warrant Officer,Technical Staff,False,,,,,Alpha,1.76,1.76,1.76,0,,2024-10-03,2029-10-03,5,1
G23445,Elnur,Vəliov,Elçin oğlu,M,LH4NEWW,KB7747684,HB237444,True,SV5880966,2001-12-10,24,Sumqayıt,Vocational/Technical College,2021,2023,Warrant Officer,Junior Warrant Officer,Technical Staff,False,,,,,Alpha,2.57,2.57,2.57,0,,2023-11-24,2026-11-24,3,5
G21944,Nərmin,Şıxəliova,Namiq qızı,F,LUURLXB,CU4184092,HB212516,True,SV1619262,2000-10-16,25,Tovuz,Vocational/Technical College,2019,2021,Warrant Officer,Warrant Officer,Technical Staff,False,,,,,Alpha,4.91,4.91,1.91,1,2024-08-02,2023-01-14,2030-01-14,7,2
G22075,Tofiq,Tağıov,Orxan oğlu,M,YAREHXA,SV9410371,HB226689,True,SV8177191,2001-12-14,24,Salyan,Vocational/Technical College,2020,2022,Warrant Officer,Warrant Officer,Technical Staff,False,,,,,Alpha,4.44,4.13,1.13,1,2025-05-14,2022-09-19,2027-09-19,5,5
G23253,Fuad,Xəlilov,Elnur oğlu,M,7VQG6ED,TJ4726267,HB232978,True,SV9088261,2003-07-16,22,Goranboy,Vocational/Technical College,2021,2023,Warrant Officer,Junior Warrant Officer,Technical Staff,False,,,,,Alpha,2.94,2.94,2.94,0,,2022-11-20,2027-11-20,5,3
G22963,Rəşad,Rüstəmov,Anar oğlu,M,RVS997E,WP3679700,HB227675,True,SV0075654,2000-09-14,25,Goranboy,Vocational/Technical College,2020,2022,Warrant Officer,Warrant Officer,Technical Staff,False,,,,,Alpha,4.5,4.5,1.5,1,2024-12-30,2025-04-18,2030-04-18,5,1
G22206,Turanə,Həsənova,Ceyhun qızı,F,G3TNW4X,BS7800446,HB227224,True,SV7717719,2001-03-16,25,Salyan,Vocational/Technical College,2020,2022,Warrant Officer,Warrant Officer,Technical Staff,False,,,,,Alpha,4.01,3.69,0.69,1,2025-10-21,2026-03-31,2029-03-31,3,5
G23305,Fuad,Nəsirov,Vaqif oğlu,M,D6LPSJ9,RM5081178,HB232679,True,SV1708003,2002-01-04,24,Mingəçevir,Vocational/Technical College,2021,2023,Warrant Officer,Junior Warrant Officer,Technical Staff,False,,,,,Alpha,2.92,2.92,2.92,0,,2026-02-12,2029-02-12,3,2
G24645,Tofiq,Qaraov,Cavid oğlu,M,HH7L4UD,SB2504887,HB241752,True,SV0432772,2002-06-11,24,Tovuz,Vocational/Technical College,2022,2024,Warrant Officer,Junior Warrant Officer,Technical Staff,False,,,,,Alpha,2.19,2.19,2.19,0,,2021-12-04,2026-12-04,5,5
G25276,Aytac,Nağıova,İlkin qızı,F,HAPHM46,YA6871524,HB252372,True,SV9709857,2003-04-25,23,Tovuz,Vocational/Technical College,2023,2025,Warrant Officer,Junior Warrant Officer,Technical Staff,False,,,,,Alpha,1.24,1.24,1.24,0,,2022-11-02,2027-11-02,5,4
G24726,Orxan,Rüstəmov,Murad oğlu,M,UP8HJL3,ST3202751,HB243654,True,SV4459232,2002-05-11,24,Şirvan,Vocational/Technical College,2022,2024,Warrant Officer,Junior Warrant Officer,Technical Staff,False,,,,,Alpha,2.19,1.42,1.42,0,,2026-02-04,2029-02-04,3,1
G22585,Vüsal,Əliov,Zaur oğlu,M,5EY8NBK,VE9855017,HB221109,True,SV0721469,2002-01-04,24,Sumqayıt,Vocational/Technical College,2020,2022,Warrant Officer,Warrant Officer,Technical Staff,False,,,,,Alpha,4.17,4.17,1.17,1,2025-04-29,2021-08-13,2028-08-13,7,5
G18574,Vaqif,İbrahimov,Tofiq oğlu,M,QE64LBQ,EP8306121,HB188745,True,SV8062245,1997-04-06,29,Gəncə,Vocational/Technical College,2016,2018,Warrant Officer,Senior Warrant Officer,Technical Staff,False,,,,,Alpha,8.06,5.59,2.59,1,2023-11-28,2023-07-04,2026-07-04,3,1
G24803,Anar,Yusifov,Tofiq oğlu,M,9TANYR3,JP3205082,HB248819,False,,2004-02-23,22,Xaçmaz,Vocational/Technical College,2022,2024,Warrant Officer,Junior Warrant Officer,Technical Staff,False,,,,,Alpha,1.79,1.69,1.69,0,,2023-11-06,2026-11-06,3,5
G24422,Sənan,Vəliov,Anar oğlu,M,J47B9H5,VJ8815869,HB240662,True,SV7955198,2004-02-25,22,Xaçmaz,Vocational/Technical College,2022,2024,Warrant Officer,Junior Warrant Officer,Technical Staff,False,,,,,Alpha,1.63,1.63,1.63,0,,2026-01-06,2029-01-06,3,5
G24379,Aysel,Vəliova,Ruslan qızı,F,RLV3LF3,WB1711530,HB240714,True,SV6533974,2003-12-16,22,Xaçmaz,Vocational/Technical College,2022,2024,Warrant Officer,Junior Warrant Officer,Technical Staff,False,,,,,Alpha,1.92,1.92,1.92,0,,2025-10-18,2028-10-18,3,3
