"person_id","first_name","last_name","department","rank","annual_flight_hours"
"AO25008","Rəşad","Nəsirov","Gamma","Lieutenant","122.909999999999998"
"AO21911","Cavid","Fərəcov","Gamma","Senior Lieutenant","123.60"
"G18149","Elşən","Rəhimov","Delta","Senior Warrant Officer","123.760000000000001"
"AO97468","Ramin","Rəhimov","Sigma","Lieutenant Colonel","123.8099999999999995"
"G25990","Elnur","Fərəcov","Beta","Junior Warrant Officer","125.389999999999999"
"G17117","Orxan","Hacıov","Beta","Senior Warrant Officer","126.26"
"AO22118","Şahin","Hacıov","Gamma","Senior Lieutenant","126.620000000000002"
"AO24756","Rövşən","Səfərov","Beta","Lieutenant","126.85"
"AO21607","Vüsal","Hüseynov","Alpha","Senior Lieutenant","127.17"
"G23771","Tural","Musaov","Beta","Warrant Officer","127.740000000000003"
"G13338","Aqşin","Şıxəliov","Gamma","Senior Warrant Officer","127.889999999999998"
"AO24250","Elşən","Rəhimov","Alpha","Lieutenant","127.909999999999995"
"AO05709","Vüsal","Məmmədov","Delta","Lieutenant Colonel","128.03"
"G08440","Aqşin","Rüstəmov","Delta","Senior Warrant Officer","128.40"
"AO12488","Şahin","Hacıov","Gamma","Major","128.50"
"G11740","Kənan","Səfərov","Alpha","Senior Warrant Officer","128.97"
"AO20211","Elvin","Hüseynov","Beta","Senior Lieutenant","129.259999999999997"
"G08986","Vüsal","Tağıov","Beta","Senior Warrant Officer","129.60"
"G16308","Rəşad","Səfərov","Delta","Senior Warrant Officer","132.19"
"G19017","Elçin","Sultanov","Alpha","Senior Warrant Officer","132.83"
"AO25711","Cavid","Rüstəmov","Delta","Lieutenant","133.09"
"AO15343","Orxan","Nağıov","Gamma","Captain","133.68"
"G21379","Emin","Musaov","Sigma","Senior Warrant Officer","133.83"
"AO18046","Aytac","Həsənova","Delta","Captain","134.10"
"G25596","Elçin","Musaov","Alpha","Junior Warrant Officer","137.24"
"AO17637","Vüsal","Fərəcov","Gamma","Captain","138.129999999999998"
"AO21878","Şahin","Quliyov","Sigma","Senior Lieutenant","138.15"
"G16237","Sənan","Əliov","Gamma","Senior Warrant Officer","138.4199999999999995"
"G25106","Ruslan","İbrahimov","Beta","Junior Warrant Officer","138.429999999999998"
"AO15781","Anar","Məmmədov","Delta","Captain","139.50"
"AO15870","Tofiq","Qaraov","Beta","Captain","140.00"
"AO12189","Elçin","Rəhimov","Delta","Major","140.480000000000004"
"G25161","Günel","İbrahimova","Beta","Junior Warrant Officer","140.80"
"AO11537","Elvin","Nağıov","Sigma","Major","141.64"
"G24819","Orxan","Səfərov","Beta","Junior Warrant Officer","141.939999999999998"
"G07690","Cavid","Nəsirov","Delta","Senior Warrant Officer","142.12"
"G22914","Namiq","Xəlilov","Gamma","Warrant Officer","142.549999999999998"
"AO21091","Anar","Nəsirov","Delta","Senior Lieutenant","143.079999999999995"
"G20911","Xəyalə","Xəlilova","Delta","Senior Warrant Officer","144.82"
"G22677","Orxan","Rüstəmov","Alpha","Warrant Officer","145.100000000000001"
"G21223","Fuad","Şıxəliov","Beta","Warrant Officer","146.410000000000001"
"AO17098","Fərid","Musaov","Sigma","Captain","147.65"
"G23268","Ruslan","Səfərov","Beta","Warrant Officer","148.41"
"G22314","Kənan","Musaov","Alpha","Warrant Officer","148.610000000000003"
"G17472","Kənan","Fərəcov","Sigma","Senior Warrant Officer","148.97"
"AO21355","Tural","Nağıov","Gamma","Senior Lieutenant","149.78000000000001"
"G23263","Vüqar","Qaraov","Delta","Warrant Officer","150.019999999999998"
"AO22701","Namiq","Xəlilov","Alpha","Senior Lieutenant","152.440000000000004"
"G23583","Vaqif","Kərimov","Gamma","Warrant Officer","152.64"
"G24895","Nicat","Abbasov","Sigma","Junior Warrant Officer","152.93"
"G15161","Emin","Rəhimov","Beta","Senior Warrant Officer","153.310000000000002"
"AO18360","Elvin","Kərimov","Gamma","Captain","153.46"
"AO21338","Rəşad","Məmmədov","Sigma","Senior Lieutenant","154.110000000000005"
"AO17682","Tofiq","Fərəcov","Delta","Captain","154.62"
"G19777","Aygün","Cəfərova","Delta","Senior Warrant Officer","154.89"
"G21624","Aqşin","Nağıov","Beta","Warrant Officer","155.29"
"G20303","Rövşən","Vəliov","Delta","Senior Warrant Officer","156.27"
"G22153","Vüsal","Vəliov","Alpha","Warrant Officer","156.370000000000002"
"AO14187","Elnur","Sultanov","Delta","Major","156.47"
"G08825","Elşən","Cəfərov","Gamma","Senior Warrant Officer","157.3900000000000005"
"G22662","Tofiq","Məmmədov","Delta","Warrant Officer","158.20"
"AO13943","Elvin","Musaov","Sigma","Major","158.799999999999996"
"AO97317","Fərid","Quliyov","Gamma","Lieutenant Colonel","159.42"
"G23402","Cavid","Quliyov","Alpha","Warrant Officer","159.97"
"AO18804","Tural","Hacıov","Beta","Captain","160.19"
"G23314","Nicat","Şıxəliov","Delta","Warrant Officer","161.8000000000000005"
"G22091","Cavid","Məmmədov","Alpha","Warrant Officer","162.13"
"AO20321","Anar","Sultanov","Sigma","Senior Lieutenant","162.179999999999995"
"AO21034","Elşən","Quliyov","Sigma","Senior Lieutenant","163.26"
"AO12605","Sənan","Rüstəmov","Alpha","Major","163.339999999999997"
"G21722","Kənan","Nağıov","Delta","Warrant Officer","163.90"
"AO18652","İlkin","Sultanov","Beta","Captain","165.849999999999997"
"AO21963","Vüsalə","Sultanova","Delta","Senior Lieutenant","166.289999999999999"
"G25334","Elnur","Hüseynov","Sigma","Junior Warrant Officer","166.870000000000004"
"G23357","Vaqif","Kərimov","Alpha","Warrant Officer","167.35"
"AO23051","Fuad","Cəfərov","Beta","Lieutenant","167.54"
"G13345","Elçin","Səfərov","Sigma","Senior Warrant Officer","167.76"
"AO24190","Kamran","Nağıov","Delta","Lieutenant","167.83"
"AO22645","Elşən","Musaov","Sigma","Senior Lieutenant","168.09"
"G12516","Anar","Tağıov","Delta","Senior Warrant Officer","168.67"
"G22746","Tural","Vəliov","Alpha","Warrant Officer","168.759999999999998"
"AO17445","Kamran","Fərəcov","Alpha","Captain","168.76"
"G22440","İlkin","Kərimov","Beta","Warrant Officer","169.090000000000001"
"G22464","Vüqar","Hacıov","Delta","Warrant Officer","169.46"
"G11534","Fuad","Nəsirov","Gamma","Senior Warrant Officer","169.46"
"G22927","Aqşin","Musaov","Beta","Warrant Officer","169.680000000000001"
"AO24361","Kamran","Tağıov","Alpha","Lieutenant","169.91"
"AO20306","Rövşən","Rüstəmov","Delta","Senior Lieutenant","170.20"
"G21555","Kənan","Musaov","Sigma","Senior Warrant Officer","170.57"
"AO20423","Tofiq","Qaraov","Beta","Senior Lieutenant","170.65"
"G11488","Səbinə","Həsənova","Alpha","Senior Warrant Officer","170.980000000000001"
"G21193","Fərid","Nağıov","Gamma","Warrant Officer","171.279999999999999"
"AO14271","Vaqif","Sultanov","Delta","Major","171.850000000000004"
"G24483","Şahin","Səfərov","Beta","Junior Warrant Officer","172.629999999999998"
"AO13497","Namiq","Cəfərov","Alpha","Major","172.659999999999999"
"AO13357","Ramin","Xəlilov","Alpha","Major","173.970000000000002"
"AO21304","Şahin","Həsənov","Alpha","Senior Lieutenant","174.339999999999999"
"AO17015","Şahin","Nəsirov","Delta","Captain","174.53"
"AO24481","Elnur","Hüseynov","Beta","Lieutenant","175.440000000000002"
"AO25183","Tofiq","Yusifov","Sigma","Lieutenant","175.48"
"G13596","Ramin","Məmmədov","Sigma","Senior Warrant Officer","176.300000000000002"
"AO21460","Namiq","Nəsirov","Beta","Senior Lieutenant","176.6500000000000005"
"AO13655","Fərid","Vəliov","Gamma","Major","177.019999999999995"
"AO24038","Turanə","Səfərova","Beta","Lieutenant","177.400000000000005"
"G08994","Fuad","Cəfərov","Gamma","Senior Warrant Officer","179.049999999999998"
"AO24650","Vüsalə","Musaova","Gamma","Lieutenant","179.32"
"G25956","Aysel","Quliyova","Alpha","Junior Warrant Officer","179.339999999999998"
"G23722","Cavid","Nəsirov","Sigma","Warrant Officer","181.650000000000000"
"G11657","Murad","Sultanov","Delta","Senior Warrant Officer","182.72"
"G21369","Rəşad","Rüstəmov","Delta","Warrant Officer","183.030000000000002"
"AO14110","Tural","Məmmədov","Sigma","Major","184.599999999999999"
"AO23405","Tofiq","Abbasov","Delta","Lieutenant","185.66"
"AO17162","Vüsal","Səfərov","Beta","Captain","186.04"
"G25878","Vüsal","Nağıov","Alpha","Junior Warrant Officer","186.190000000000003"
"AO25210","Şahin","Fərəcov","Beta","Lieutenant","187.109999999999996"
"G23967","Aysel","Səfərova","Sigma","Warrant Officer","189.060000000000001"
"G23853","Vüsal","Məmmədov","Sigma","Warrant Officer","189.08"
"AO25541","Rəşad","Əliov","Sigma","Lieutenant","190.60"
"G18716","Ceyhun","Hüseynov","Alpha","Senior Warrant Officer","191.46"
"G10034","Orxan","Tağıov","Gamma","Senior Warrant Officer","192.2399999999999985"
"AO20240","Kamran","Vəliov","Gamma","Senior Lieutenant","192.450000000000001"
"G24599","Sənan","Hüseynov","Beta","Junior Warrant Officer","193.280000000000000"
"AO23143","Şahin","Cəfərov","Beta","Lieutenant","194.169999999999991"
"AO17172","Rəşad","Həsənov","Alpha","Captain","194.469999999999998"
"AO13289","Vüqar","Musaov","Delta","Major","194.99"
"G21563","Kənan","Kərimov","Sigma","Warrant Officer","195.41"
"AO17667","Tofiq","Rəhimov","Gamma","Captain","195.420000000000004"
"G18673","Fərid","Səfərov","Alpha","Senior Warrant Officer","195.750000000000000"
"G23944","İlkin","Cəfərov","Alpha","Warrant Officer","195.760000000000005"
"AO18186","Namiq","Cəfərov","Delta","Captain","195.8699999999999995"
"AO24582","Səbinə","Hüseynova","Sigma","Lieutenant","198.30"
"AO14416","Cavid","Nəsirov","Gamma","Major","198.33"
"G21265","Nicat","Tağıov","Gamma","Warrant Officer","198.98"
"AO24023","Günel","Rəhimova","Alpha","Lieutenant","199.090000000000001"
"G24197","Nicat","Tağıov","Alpha","Junior Warrant Officer","199.43"
"G23726","İlkin","Abbasov","Delta","Junior Warrant Officer","200.109999999999998"
"G24740","Elvin","Həsənov","Gamma","Junior Warrant Officer","200.11"
"AO18342","Namiq","Quliyov","Delta","Captain","200.380000000000002"
"G24754","İlkin","Həsənov","Sigma","Junior Warrant Officer","201.29"
"G24135","Elnur","Tağıov","Beta","Junior Warrant Officer","202.56"
"AO12822","Ceyhun","Hacıov","Gamma","Major","203.820000000000004"
"AO22715","Zaur","Vəliov","Beta","Senior Lieutenant","205.199999999999998"
"AO17259","Tural","Həsənov","Alpha","Captain","205.720000000000002"
"AO16486","Murad","Nəsirov","Beta","Captain","205.84"
"AO23728","Fuad","Quliyov","Beta","Lieutenant","205.86"
"G21228","Nicat","Əliov","Sigma","Warrant Officer","208.070000000000002"
"G23405","Tofiq","Abbasov","Gamma","Warrant Officer","208.490000000000001"
"AO25112","Turanə","Səfərova","Sigma","Lieutenant","208.589999999999991"
"AO13576","Tural","Quliyov","Delta","Major","209.15"
"G17751","Zaur","Həsənov","Gamma","Senior Warrant Officer","209.35"
"AO24140","Emin","Məmmədov","Sigma","Lieutenant","211.44"
"AO12000","Kənan","Rüstəmov","Sigma","Major","212.990000000000001"
"AO24416","Kənan","İbrahimov","Alpha","Lieutenant","213.520000000000006"
"G23423","Elşən","Musaov","Alpha","Junior Warrant Officer","214.690000000000002"
"AO17508","Vüsal","İbrahimov","Sigma","Captain","215.330000000000005"
"G23248","Zaur","Nəsirov","Sigma","Warrant Officer","215.600000000000002"
"AO24033","Tofiq","Məmmədov","Alpha","Lieutenant","215.990000000000003"
"AO16547","Elçin","Məmmədov","Alpha","Captain","216.069999999999998"
"G24443","Rövşən","Xəlilov","Delta","Junior Warrant Officer","217.54"
"AO19031","Vaqif","Tağıov","Sigma","Captain","218.940000000000002"
"AO25328","Orxan","Rüstəmov","Alpha","Lieutenant","219.55"
"AO18862","Rövşən","Nəsirov","Sigma","Captain","221.229999999999996"
"G22667","Cavid","Həsənov","Sigma","Warrant Officer","221.529999999999998"
"AO23001","Sənan","Yusifov","Beta","Lieutenant","221.539999999999994"
"AO21945","Kənan","Şıxəliov","Beta","Senior Lieutenant","222.109999999999998"
"AO23491","Cavid","Hacıov","Alpha","Lieutenant","222.199999999999996"
"AO21394","Aqşin","Tağıov","Gamma","Senior Lieutenant","223.36"
"G22398","Kənan","Nəsirov","Sigma","Warrant Officer","223.520000000000002"
"G23950","Fərid","Quliyov","Gamma","Warrant Officer","224.20"
"AO24578","Elçin","Rüstəmov","Delta","Lieutenant","224.93"
"AO18238","Ruslan","Abbasov","Delta","Captain","225.270000000000000"
"G23288","Fərid","Yusifov","Alpha","Junior Warrant Officer","225.809999999999996"
"G17341","Kənan","Rüstəmov","Sigma","Senior Warrant Officer","226.04"
"AO20436","Fərid","Həsənov","Delta","Senior Lieutenant","227.550000000000000"
"G12759","Şəbnəm","Nəsirova","Gamma","Senior Warrant Officer","229.359999999999999"
"AO23290","Şahin","Sultanov","Alpha","Lieutenant","231.04"
"G24918","Tofiq","Yusifov","Sigma","Junior Warrant Officer","232.46"
"AO20873","Tofiq","Fərəcov","Sigma","Senior Lieutenant","232.539999999999995"
"G24868","Ruslan","Rüstəmov","Delta","Junior Warrant Officer","232.889999999999997"
"AO17072","Fərid","Xəlilov","Gamma","Captain","233.639999999999999"
"AO16652","Cavid","Cəfərov","Gamma","Captain","236.949999999999998"
"AO24715","Kənan","Səfərov","Beta","Lieutenant","237.14"
"AO25712","Şahin","Musaov","Alpha","Lieutenant","237.309999999999998"
"AO20080","Namiq","Vəliov","Sigma","Senior Lieutenant","237.99"
"AO24602","Fərid","Məmmədov","Beta","Lieutenant","238.300000000000005"
"G24055","Cavid","Xəlilov","Gamma","Junior Warrant Officer","239.919999999999998"
"AO21263","Orxan","Əliov","Sigma","Senior Lieutenant","242.34"
"AO24366","Elnur","Tağıov","Sigma","Lieutenant","242.560000000000003"
"AO21436","Kamran","Əliov","Sigma","Senior Lieutenant","245.98"
"AO21586","Fərid","Nəsirov","Alpha","Senior Lieutenant","246.27"
"G24625","Zaur","Xəlilov","Gamma","Junior Warrant Officer","246.579999999999998"
"AO19192","Rövşən","Abbasov","Gamma","Captain","247.35"
"AO16860","Fuad","Cəfərov","Gamma","Captain","247.379999999999998"
"AO21429","Rəşad","Xəlilov","Gamma","Senior Lieutenant","248.239999999999999"
"AO19391","Ramin","Rüstəmov","Alpha","Captain","249.02"
"AO23313","Orxan","Rəhimov","Gamma","Lieutenant","251.55"
"AO22963","Rövşən","Fərəcov","Alpha","Senior Lieutenant","252.469999999999997"
"AO24579","Murad","Nağıov","Gamma","Lieutenant","253.38"
"AO22617","Kənan","Məmmədov","Sigma","Senior Lieutenant","255.8700000000000005"
"AO23430","Ruslan","Cəfərov","Beta","Lieutenant","256.77"
"AO18976","Elçin","Rüstəmov","Alpha","Captain","265.109999999999997"
"G24228","Murad","Quliyov","Gamma","Junior Warrant Officer","267.7099999999999997"
"G21712","Elnur","Rəhimov","Gamma","Warrant Officer","270.27"
"AO23991","Zaur","Əliov","Delta","Lieutenant","271.040000000000002"
"AO21458","Elvin","Nəsirov","Alpha","Senior Lieutenant","271.379999999999999"
"AO22093","Ramin","Səfərov","Sigma","Senior Lieutenant","271.450000000000002"
"AO15626","Vüsal","Abbasov","Gamma","Captain","272.110000000000004"
"AO25376","Fərid","Xəlilov","Sigma","Lieutenant","273.769999999999996"
"AO14671","Elnur","Rüstəmov","Sigma","Major","275.680000000000002"
"AO24278","Elçin","Rəhimov","Delta","Lieutenant","275.800000000000001"
"AO24225","Tural","Qaraov","Beta","Lieutenant","278.980000000000000"
"AO24665","Rəşad","Qaraov","Gamma","Lieutenant","287.499999999999996"
"AO24985","Nicat","Şıxəliov","Gamma","Lieutenant","293.3100000000000015"
"AO24080","Anar","Vəliov","Gamma","Lieutenant","293.72"
"AO24322","Ülviyyə","Tağıova","Beta","Lieutenant","295.629999999999998"
"AO22316","Ramin","Quliyov","Delta","Senior Lieutenant","296.42"
"AO22921","Elşən","Məmmədov","Alpha","Senior Lieutenant","297.599999999999999"
"AO20164","Elşən","Kərimov","Alpha","Senior Lieutenant","297.699999999999986"
"AO22585","Orxan","Yusifov","Alpha","Senior Lieutenant","306.759999999999996"
"AO25736","Ramin","Quliyov","Gamma","Lieutenant","306.76"
"AO25379","Aygün","Sultanova","Delta","Lieutenant","316.020000000000001"
"AO23316","Elşən","Kərimov","Gamma","Lieutenant","319.679999999999999"
"AO22788","Vüsal","Quliyov","Sigma","Senior Lieutenant","326.42"
"AO23557","Ceyhun","Sultanov","Gamma","Lieutenant","342.290000000000001"
"AO23681","Fuad","Şıxəliov","Sigma","Lieutenant","346.28"
"AO23780","Fərid","Şıxəliov","Sigma","Lieutenant","347.039999999999997"
"AO24475","Kamran","Qaraov","Gamma","Lieutenant","347.85"
"AO24451","İlkin","Qaraov","Gamma","Lieutenant","361.87"
"AO24631","Vüsal","Quliyov","Delta","Lieutenant","477.67"
